iter	Passed	Remaining
0	46	46349
1	46	23358
2	47	15686
3	47	11818
4	47	9498
5	48	8003
6	48	6948
7	56	6966
8	56	6219
9	56	5618
10	57	5129
11	57	4719
12	57	4372
13	57	4079
14	58	3825
15	58	3613
16	59	3431
17	59	3254
18	60	3110
19	60	2969
20	61	2844
21	61	2731
22	61	2624
23	62	2526
24	62	2434
25	62	2354
26	63	2275
27	63	2202
28	63	2133
29	64	2070
30	64	2011
31	64	1954
32	64	1903
33	65	1853
34	65	1807
35	65	1763
36	66	1721
37	67	1716
38	68	1678
39	68	1642
40	68	1608
41	69	1575
42	69	1544
43	69	1516
44	70	1488
45	71	1487
46	72	1461
47	72	1436
48	72	1413
49	73	1389
50	73	1366
51	73	1344
52	74	1323
53	74	1303
54	74	1284
55	75	1278
56	76	1267
57	77	1251
58	77	1239
59	78	1222
60	78	1206
61	78	1192
62	79	1177
63	79	1162
64	79	1147
65	80	1133
66	80	1119
67	80	1106
68	81	1093
69	81	1080
70	81	1067
71	81	1056
72	82	1044
73	82	1033
74	82	1022
75	83	1012
76	83	1003
77	84	993
78	84	985
79	84	975
80	85	966
81	85	957
82	85	946
83	85	937
84	86	929
85	86	920
86	86	912
87	87	904
88	87	897
89	87	889
90	88	882
91	88	876
92	89	868
93	89	866
94	90	859
95	90	853
96	90	846
97	91	839
98	91	832
99	91	825
100	91	818
101	92	812
102	92	805
103	92	800
104	93	795
105	93	789
106	93	783
107	94	778
108	94	773
109	94	767
110	95	762
111	95	759
112	96	753
113	96	748
114	96	743
115	96	738
116	97	733
117	97	728
118	97	723
119	98	719
120	98	715
121	98	710
122	99	706
123	100	708
124	100	704
125	101	700
126	101	695
127	101	691
128	101	688
129	102	685
130	102	680
131	102	677
132	103	673
133	103	670
134	103	666
135	104	662
136	104	658
137	104	655
138	105	651
139	105	647
140	105	643
141	105	639
142	106	635
143	106	632
144	106	628
145	106	625
146	107	621
147	107	618
148	107	615
149	107	611
150	108	608
151	108	606
152	108	602
153	109	600
154	109	597
155	109	594
156	110	591
157	110	588
158	110	585
159	111	583
160	111	580
161	111	578
162	112	575
163	112	573
164	112	571
165	113	568
166	113	567
167	114	565
168	115	567
169	116	567
170	116	567
171	117	565
172	118	565
173	118	563
174	119	562
175	120	562
176	120	561
177	121	561
178	121	559
179	122	557
180	122	555
181	122	552
182	123	550
183	123	549
184	124	548
185	124	545
186	125	543
187	125	542
188	126	541
189	126	540
190	127	539
191	127	537
192	128	535
193	128	534
194	128	532
195	129	530
196	129	528
197	130	526
198	130	524
199	130	522
200	130	520
201	131	518
202	131	516
203	131	514
204	132	512
205	132	510
206	132	507
207	132	505
208	133	503
209	133	501
210	133	499
211	133	497
212	134	495
213	134	493
214	134	491
215	134	489
216	135	488
217	135	486
218	135	484
219	136	482
220	136	480
221	136	478
222	136	477
223	137	475
224	137	473
225	137	472
226	138	470
227	138	468
228	138	467
229	139	466
230	139	464
231	139	462
232	140	461
233	140	459
234	140	457
235	140	456
236	141	454
237	141	453
238	141	451
239	142	450
240	142	448
241	143	447
242	143	447
243	144	446
244	144	446
245	145	446
246	145	444
247	146	443
248	146	441
249	146	440
250	146	438
251	147	437
252	147	435
253	147	434
254	148	432
255	148	431
256	148	429
257	148	428
258	149	426
259	149	425
260	149	424
261	150	422
262	150	421
263	150	420
264	151	418
265	151	417
266	151	415
267	151	414
268	152	413
269	152	412
270	152	411
271	153	409
272	153	408
273	153	407
274	153	405
275	154	404
276	154	403
277	154	402
278	155	401
279	155	400
280	155	398
281	156	397
282	156	396
283	156	395
284	157	394
285	157	393
286	157	391
287	158	390
288	158	389
289	158	388
290	158	386
291	159	385
292	159	384
293	159	383
294	159	382
295	160	380
296	160	379
297	160	378
298	160	377
299	161	376
300	161	375
301	161	373
302	162	372
303	162	371
304	162	370
305	162	369
306	163	368
307	163	367
308	163	365
309	163	364
310	164	363
311	164	362
312	164	361
313	164	360
314	165	359
315	165	358
316	165	357
317	166	356
318	166	355
319	166	354
320	166	352
321	167	351
322	167	350
323	167	349
324	168	349
325	168	348
326	168	347
327	169	346
328	169	345
329	169	344
330	169	343
331	170	342
332	170	341
333	170	340
334	171	339
335	171	338
336	171	337
337	172	336
338	172	336
339	172	335
340	172	334
341	173	333
342	173	332
343	173	331
344	174	330
345	174	329
346	174	328
347	174	327
348	175	326
349	175	325
350	175	325
351	176	324
352	176	323
353	176	322
354	177	321
355	177	320
356	177	319
357	177	319
358	178	318
359	178	317
360	178	316
361	179	315
362	179	314
363	179	314
364	180	313
365	180	312
366	180	311
367	181	310
368	181	310
369	181	309
370	181	308
371	182	307
372	182	307
373	182	306
374	183	305
375	183	304
376	183	303
377	184	303
378	184	302
379	184	301
380	185	300
381	185	300
382	185	299
383	186	298
384	186	298
385	186	297
386	187	296
387	187	295
388	187	294
389	187	294
390	188	293
391	188	292
392	188	291
393	189	290
394	189	290
395	190	290
396	190	289
397	190	288
398	191	287
399	191	287
400	191	286
401	192	285
402	192	285
403	192	284
404	192	283
405	193	282
406	193	281
407	193	281
408	194	280
409	194	279
410	194	278
411	194	278
412	195	277
413	195	276
414	195	276
415	196	275
416	196	274
417	196	273
418	196	273
419	197	272
420	197	271
421	197	270
422	198	270
423	198	270
424	199	269
425	199	268
426	199	268
427	200	267
428	200	266
429	200	266
430	200	265
431	201	264
432	201	264
433	201	263
434	202	262
435	202	262
436	202	261
437	203	260
438	203	260
439	203	259
440	204	258
441	204	258
442	205	258
443	205	257
444	206	257
445	206	256
446	206	255
447	207	255
448	207	254
449	207	253
450	208	253
451	208	252
452	208	252
453	208	251
454	209	250
455	209	250
456	209	249
457	210	248
458	210	248
459	210	247
460	211	246
461	213	248
462	213	247
463	214	247
464	214	247
465	215	246
466	215	245
467	215	245
468	215	244
469	216	243
470	216	243
471	216	242
472	217	241
473	217	241
474	217	240
475	217	239
476	218	239
477	218	238
478	218	238
479	219	237
480	219	236
481	219	236
482	220	235
483	220	235
484	220	234
485	221	233
486	221	233
487	221	232
488	221	231
489	222	231
490	222	230
491	222	230
492	223	229
493	223	228
494	223	228
495	223	227
496	224	226
497	224	226
498	224	225
499	224	224
500	225	224
501	225	223
502	225	222
503	225	222
504	226	221
505	226	221
506	226	220
507	226	219
508	227	219
509	227	218
510	227	218
511	228	217
512	228	216
513	228	216
514	229	215
515	229	215
516	229	214
517	229	213
518	230	213
519	230	212
520	230	212
521	231	211
522	231	210
523	231	210
524	231	209
525	232	209
526	232	208
527	232	208
528	233	207
529	233	206
530	233	206
531	233	205
532	234	205
533	234	204
534	234	204
535	235	203
536	235	202
537	235	202
538	235	201
539	236	201
540	236	200
541	236	199
542	236	199
543	237	198
544	237	198
545	237	197
546	237	197
547	238	196
548	238	195
549	238	195
550	239	194
551	239	194
552	239	193
553	239	193
554	240	192
555	240	191
556	240	191
557	240	190
558	241	190
559	241	189
560	241	189
561	241	188
562	242	188
563	242	187
564	242	186
565	243	186
566	243	185
567	243	185
568	244	184
569	244	184
570	244	183
571	244	183
572	245	182
573	245	182
574	245	181
575	245	181
576	246	180
577	246	179
578	246	179
579	246	178
580	247	178
581	247	177
582	247	177
583	248	176
584	248	176
585	248	175
586	249	175
587	249	174
588	249	174
589	249	173
590	250	173
591	250	172
592	250	172
593	251	171
594	251	171
595	251	170
596	252	170
597	252	169
598	252	169
599	252	168
600	253	168
601	253	167
602	253	167
603	254	166
604	254	166
605	254	165
606	254	165
607	255	164
608	255	164
609	255	163
610	256	163
611	256	162
612	256	162
613	257	161
614	257	161
615	257	160
616	257	160
617	258	159
618	258	159
619	258	158
620	259	158
621	259	157
622	259	157
623	260	156
624	260	156
625	261	155
626	261	155
627	261	154
628	262	154
629	262	154
630	262	153
631	263	153
632	263	152
633	263	152
634	264	151
635	264	151
636	264	150
637	265	150
638	265	150
639	266	149
640	266	149
641	266	148
642	267	148
643	267	147
644	267	147
645	268	146
646	268	146
647	269	146
648	269	145
649	269	145
650	270	144
651	271	144
652	272	144
653	272	144
654	272	143
655	272	143
656	273	142
657	273	142
658	273	141
659	274	141
660	274	140
661	274	140
662	274	139
663	275	139
664	275	138
665	275	138
666	276	137
667	276	137
668	276	136
669	277	136
670	277	135
671	277	135
672	277	135
673	278	134
674	278	134
675	278	133
676	278	133
677	279	132
678	279	132
679	279	131
680	280	131
681	280	130
682	280	130
683	280	129
684	281	129
685	281	128
686	281	128
687	282	128
688	282	127
689	282	127
690	283	126
691	283	126
692	283	125
693	284	125
694	284	124
695	284	124
696	284	123
697	285	123
698	285	122
699	285	122
700	286	122
701	286	121
702	286	121
703	286	120
704	287	120
705	287	119
706	287	119
707	287	118
708	288	118
709	288	117
710	288	117
711	289	116
712	289	116
713	289	116
714	289	115
715	290	115
716	290	114
717	290	114
718	290	113
